"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_rate","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B0B42HXW3P","X003A8GAYP","365Home Bowl Cozy Template 3 Sizes, Clear Acrylic Bowl Wrap, Sewing Pattern Templates for Quilting with Needle Set and Manual Instruction","AGS1","US","11.89","11.57","0.63","inches","0.73","pounds","0.0502","cubic feet","Standard-Size","0.23","0.0","0.01","2022-11","2.4","USD","0.0242","--","N","N","0.0","--","0.03"
"B07JD2H5KC","X001X335DX","VNFLY Cute Keychain Lovely Animal Characters, Mini Figure Collection Playset, Plant Pot Craft Dollhouse Decoration, Cake Topper, Cake Decoration (2 x 1.4 inches)","AKC1","US","9.41","5.79","0.94","inches","0.06","pounds","0.0298","cubic feet","Standard-Size","0.37","0.0","0.0109","2022-11","2.4","USD","0.0262","--","N","N","0.0","--","0.0"
"B07RND7Q6Y","X00277ZSBB","VNFLY Shield Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","2.25","2.05","0.65","inches","0.09","pounds","0.0017","cubic feet","Standard-Size","0.9","0.4","9.0E-4","2022-11","2.4","USD","0.0021","--","N","N","0.0","--","0.0"
"B07V27BG9M","X0028ME04L","Nidavellir 2-Pack Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver & Bronze)","AKC1","US","4.96","3.43","1.14","inches","0.2","pounds","0.0112","cubic feet","Standard-Size","1.0","0.0","0.0105","2022-11","2.4","USD","0.0251","--","N","N","0.0","--","0.07"
"B07V278VJ1","X0028N5BQ1","Nidavellir Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","3.2","1.8","0.04","inches","0.5","pounds","1.0E-4","cubic feet","Standard-Size","17.0","0.0","0.0023","2022-11","2.4","USD","0.0054","--","N","N","0.0","--","0.0"
"B07V1RBC2X","X0028O2PTV","VNFLY Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","AKC1","US","4.53","3.46","0.87","inches","0.09","pounds","0.0079","cubic feet","Standard-Size","1.73","0.0","0.0132","2022-11","2.4","USD","0.0316","--","N","N","0.0","--","0.07"
"B07V279H18","X0028QC9OP","Nidavellir 2-Pack Hammer Keychain Bottle Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","4.0","3.7","1.0","inches","0.25","pounds","0.0086","cubic feet","Standard-Size","1.47","0.0","0.012","2022-11","2.4","USD","0.0288","--","N","N","0.0","--","0.07"
"B07V5FRPQR","X0028QCO2R","VNFLY Glove Keychain Glove Key Ring, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","4.37","1.65","1.34","inches","0.12","pounds","0.0056","cubic feet","Standard-Size","22.93","0.0","0.1282","2022-11","2.4","USD","0.3076","--","N","N","0.0","--","0.03"
"B07XM2WL3W","X002BBZ4MB","Nidavellir 2-Pack Fist Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","5.9","3.6","2.6","inches","0.6","pounds","0.032","cubic feet","Standard-Size","1.0","0.0","0.032","2022-11","2.4","USD","0.0767","--","N","N","0.0","--","0.0"
"B07XX85V64","X002BBZSCH","Nidavellir Fist Beer Opener and Bronze Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","5.75","3.46","2.36","inches","0.56","pounds","0.0272","cubic feet","Standard-Size","1.0","0.0","0.0272","2022-11","2.4","USD","0.0653","--","N","N","0.0","--","0.0"
